ip.src	udp.srcport	ip.dst	udp.dstport	dns.qry.name	dns.resp.name
10.0.0.102	53	10.0.0.103	56612	dnscat.3b49012b763e70ec3232d20011bed00757	dnscat.3b49012b763e70ec3232d20011bed00757
10.0.0.103	56612	10.0.0.102	53	dnscat.2849012b76032f7b52cf790012ff168337	
10.0.0.102	53	10.0.0.103	56612	dnscat.2849012b76032f7b52cf790012ff168337	dnscat.2849012b76032f7b52cf790012ff168337
10.0.0.103	56612	10.0.0.102	53	dnscat.1fd1012b76be40df3dde290013274ad2dc	
10.0.0.102	53	10.0.0.103	56612	dnscat.1fd1012b76be40df3dde290013274ad2dc	dnscat.1fd1012b76be40df3dde290013274ad2dc
10.0.0.103	56612	10.0.0.102	53	dnscat.3855012b76e3deada6d65d001467170cce	
10.0.0.102	53	10.0.0.103	56612	dnscat.3855012b76e3deada6d65d001467170cce	dnscat.3855012b76e3deada6d65d001467170cce
10.0.0.103	56612	10.0.0.102	53	dnscat.1c3b012b76b588596634960015d9844d27	
10.0.0.102	53	10.0.0.103	56612	dnscat.1c3b012b76b588596634960015d9844d27	dnscat.1c3b012b76b588596634960015d9844d27
10.0.0.103	56612	10.0.0.102	53	dnscat.7fae012b7646541511d69000168d088f65	
10.0.0.102	53	10.0.0.103	56612	dnscat.7fae012b7646541511d69000168d088f65	dnscat.7fae012b7646541511d69000168d088f65
10.0.0.103	56612	10.0.0.102	53	dnscat.6c80012b7607bf168803710017e475ee4b	
10.0.0.102	53	10.0.0.103	56612	dnscat.6c80012b7607bf168803710017e475ee4b	dnscat.6c80012b7607bf168803710017e475ee4b
10.0.0.103	56612	10.0.0.102	53	dnscat.14c9012b76d0cec891b0cc0018b94df21d	
10.0.0.102	53	10.0.0.103	56612	dnscat.14c9012b76d0cec891b0cc0018b94df21d	dnscat.14c9012b76d0cec891b0cc0018b94df21d
10.0.0.103	56612	10.0.0.102	53	dnscat.4c21012b76a92148e7f6050019004ad6e5	
10.0.0.102	53	10.0.0.103	56612	dnscat.4c21012b76a92148e7f6050019004ad6e5	dnscat.4c21012b76a92148e7f6050019004ad6e5
10.0.0.103	56612	10.0.0.102	53	dnscat.0f9c012b76fb7d0abbcef2001a76ffda5d	
10.0.0.102	53	10.0.0.103	56612	dnscat.0f9c012b76fb7d0abbcef2001a76ffda5d	dnscat.0f9c012b76fb7d0abbcef2001a76ffda5d
10.0.0.103	56612	10.0.0.102	53	dnscat.2b2e012b7667c6a25eb904001b86ad7666	
